117 6	113.75 -43.75
118 6	116.25 -43.75
119 6	118.75 -43.75
120 6	121.25 -43.75
121 6	123.75 -43.75
122 6	126.25 -43.75
123 6	128.75 -43.75
124 6	131.25 -43.75
125 6	133.75 -43.75
126 6	136.25 -43.75
127 6	138.75 -43.75
128 6	141.25 -43.75
129 6	143.75 -43.75
130 6	146.25 -43.75
131 6	148.75 -43.75
132 6	151.25 -43.75
133 6	153.75 -43.75
134 6	156.25 -43.75
135 6	158.75 -43.75
136 6	161.25 -43.75
137 6	163.75 -43.75
138 6	166.25 -43.75
139 6	168.75 -43.75
140 6	171.25 -43.75
141 6	173.75 -43.75
142 6	176.25 -43.75
143 6	178.75 -43.75
0 7	-178.75 -41.25
1 7	-176.25 -41.25
2 7	-173.75 -41.25
3 7	-171.25 -41.25
4 7	-168.75 -41.25
5 7	-166.25 -41.25
6 7	-163.75 -41.25
7 7	-161.25 -41.25
8 7	-158.75 -41.25
9 7	-156.25 -41.25
10 7	-153.75 -41.25
11 7	-151.25 -41.25
12 7	-148.75 -41.25
13 7	-146.25 -41.25
14 7	-143.75 -41.25
15 7	-141.25 -41.25
16 7	-138.75 -41.25
17 7	-136.25 -41.25
18 7	-133.75 -41.25
19 7	-131.25 -41.25
20 7	-128.75 -41.25
21 7	-126.25 -41.25
22 7	-123.75 -41.25
23 7	-121.25 -41.25
24 7	-118.75 -41.25
25 7	-116.25 -41.25
26 7	-113.75 -41.25
